"23 herb formula to increase breast milk,68.4-83.6"
"Abacavir + Lamivudine + Zidovudine,96.12-117.48"
"Abemaciclib,0.684-0.836"
"Abhayarista,136.8-167.2"
"Abiraterone Acetate,198.702-242.858"
"Acacia + Dates + Asparagus + Edible Pine,68.4-83.6"
"Acalabrutinib,0.684-0.836"
"Acarbose,12.3255-15.0645"
"Aceclofenac,4.554-5.566"
"Acemetacin,5.49-6.71"
"Acetate Formulation [Hemodialysis Solution],6.84-8.36"
"Acetazolamide,1.368-1.672"
"Acetylcysteine,69.426-84.854"
"Acidic component [HCO3 Hemodialysis Solution],6.84-8.36"
"Acitretin,42.84-52.36"
"Aclidinium Bromide + Formoterol Fumarate,17.1-20.9"
"Activated Charcoal,6.768-8.272"
"Acyclovir (Injection),171.342-209.418"
"Acyclovir (Ophthalmic),2.736-3.344"
"Acyclovir (Oral),28.728-35.112"
"Acyclovir (Topical),5.13-6.27"
"Acyclovir + Hydrocortisone,5.13-6.27"
"Adalimumab,0.549-0.671"
"Adapalene,6.84-8.36"
"Adapalene + Benzoyl peroxide,10.26-12.54"
"Adefovir Dipivoxil,20.601-25.179"
"Adenosine,1.368-1.672"
"Adhatoda vasica + Centella asiatica,68.4-83.6"
"Adrenaline,0.684-0.836"
"Adsorbed Tetanus Vaccine,0.342-0.418"
"Afatinib Dimaleate,0.684-0.836"
"Aflibercept,68.4-83.6"
"Agomelatine,29.1195-35.5905"
"Albendazole,1.503-1.837"
"Albumin (Human),102.6-125.4"
"Alcaftadine,3.42-4.18"
"Alectinib,0.684-0.836"
"Alendronic acid,11.97-14.63"
"Alendronic Acid + Vitamin D3,18.8775-23.0725"
"Alfacalcidol,10.26-12.54"
"Alfuzosin Hydrochloride,6.8625-8.3875"
"Allium cepa + Heparin + Allantoin,13.68-16.72"
"Allopurinol,4.122-5.038"
"Allylestrenol,5.3865-6.5835"
"Almitrine Bismesylate + Raubasine,7.524-9.196"
"Almond + Coconut + Edible Pine + Salep,68.4-83.6"
"Almotriptan,17.127-20.933"
"Aloe + Black Pepper + Henbane,1.368-1.672"
"Aloe indica+ Hyoscyamus niger + Piper nigrum,5.472-6.688"
"Alogliptin Benzoate,10.26-12.54"
"Alpha Lipoic Acid,37.395-45.705"
"Alphanate,3.42-4.18"
"Alprazolam,3.087-3.773"
"Alteplase,34.2-41.8"
"Aluminium Chloride + Melaleuca Alternifolia Oil + Geothermal water,34.2-41.8"
"Aluminium Chloride Hexahydrate,34.2-41.8"
"Aluminium Hydroxide + Magnesium Hydroxide,85.635-104.665"
